Product,Symbool/ISIN,Aantal,Slotkoers,Lokale waarde,Waarde in EUR
CASH & CASH FUND & FTX CASH (EUR),,,,EUR 2932.24,"2932,24"
ADR ON ALIBABA GROUP HOLDING,US01609W1027,10,"88,54",USD 885.40,"814,75"
ADR ON BAIDU,US0567521085,9,"110,58",USD 995.22,"915,80"
ADR ON PINDUODUO INC,US7223041028,3,"146,19",USD 438.57,"403,57"
ADVANCED MICRO DEVICES,US0079031078,7,"164,47",USD 1151.29,"1059,42"
GLOBAL X URANIUM UCITS ETF,IE000NDWFGA5,60,"16,72",EUR 1002.96,"1002,96"
MICROSOFT CORPORATION,US5949181045,4,"420,21",USD 1680.84,"1546,71"
NVIDIA CORPORATION - C,US67066G1040,1,"924,79",USD 924.79,"850,99"
SOFI TECHNOLOGIES INC,US83406F1021,150,"7,28",USD 1092.00,"1004,86"
VANGUARD S&P500,IE00B3XXRP09,50,"92,50",EUR 4624.95,"4624,95"
VANECK JUNIOR GOLD MINERS UCITS ETF,IE00BQQP9G91,30,"36,80",EUR 1104.15,"1104,15"
ISHARES MSCI INDIA UCITS ETF USD...,IE00BZCQB185,60,"8,64",EUR 518.70,"518,70"
